Title,Grammage,Selling Price,MRP,Discount %,Deal Tags,Quantity Bought,Rating,Reviews,Link,Ad/Not Ad,Date,Search Term,Pincode,Category
"Right Shift Itc Millet Oatmeal,240 G|Rolled Oats,Dry Fruits,Seeds|High Protein Oats|No Refined Sugar|No Preservatives|Clinically Proven Ingredients For Gut Health|Breakfast Cereal",240 g,164,240,31.67,No Deal,100+ bought in past month,4.8,53,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MjI0MTgyNjAzOTgxMzk0OjE3NDc2Mzg0Mzk6c3BfYXRmOjMwMDUzNTI5MTA1NDczMjo6MDo6&url=%2FRight-Shift-Wholegrains-Micronutrients-Ingredients%2Fdp%2FB0CWH62ZQC%2Fref%3Dsr_1_1_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo%26dib_tag%3Dse%26keywords%3Dright%2Bshift%26qid%3D1747638439%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Ad,19-05-2025,right shift,560005,right shift
"Right Shift Jaggery 0% Maida Ragi Cookies, 0% Refined Sugar, 300g | Pack of 3| No Maida, No Refined Sugar, Sugar Free Cookies | High Fibre Digestive Biscuits, Calcium Biscuits",300g,240,No Price,0.0,No Deal,200+ bought in past month,4.2,153,https://www.amazon.in/Right-Shift-Jaggery-Digestive-Biscuits/dp/B0F143VVH7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-3,Not Ad,19-05-2025,right shift,560005,right shift
"ITC Right Shift Oats++. 240g | Rolled Oats, Millets, Seeds | High Protein Oats for Weight Loss | Ready to Cook, Instant Oats | No Added Preservatives | Clinically Proven Ingredients for Gut Health",240g,109,160,31.88,No Deal,100+ bought in past month,4.3,38,https://www.amazon.in/Right-Shift-Micronutrients-Clinically-Ingredients/dp/B0CWH8VYJ3/ref=sr_1_4_f3_0o_fs?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-4,Not Ad,19-05-2025,right shift,560005,right shift
"Mille High Fibre Millet and Oats | Zero Added Sugar | Power of 7 - Millets, Oats, Flax seeds and Chia seeds | Instant Multigrain High Protein Breakfast Cereal | 500g",500g,196,199,1.51,No Deal,700+ bought in past month,4.4,161,https://www.amazon.in/Mille-Fibre-Millet-Added-Sugar/dp/B0D2LN7YLH/ref=sr_1_5_mod_primary_new?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-5,Not Ad,19-05-2025,right shift,560005,right shift
"Sunfeast Farmlite Oats with Chocolate, 150grams",150g,56,70,20.0,No Deal,2K+ bought in past month,4.5,"3,403",https://www.amazon.in/Sunfeast-Farmlite-Oats-Chocolate-150g/dp/B01GRH935W/ref=sr_1_6_f3_0o_fs?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-6,Not Ad,19-05-2025,right shift,560005,right shift
"Eat Better Co – Millet Namkeen Combo – Four Flavours – Desi Masala, Mango Achari, Pudina Punch and Chilli Garlic – 4 * 100 grams - Healthy Snacks for Adults Combo",100 g,249,276,9.78,No Deal,1K+ bought in past month,3.9,965,https://www.amazon.in/Eat-Better-Co-Namkeen-Flavours/dp/B0CY5N1KVG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-7,Not Ad,19-05-2025,right shift,560005,right shift
True Elements Rolled Oats 500g - Rolled Oats for Weight Management | Nutritious Breakfast | Gluten free Oats Combo | High Fibre Breakfast | 100% Wholegrain,500g,140,200,30.0,No Deal,2K+ bought in past month,4.4,"4,355",https://www.amazon.in/True-Elements-Gluten-Free-Rolled/dp/B01NCRLSB1/ref=sr_1_8?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-8,Not Ad,19-05-2025,right shift,560005,right shift
"Sunfeast Farmlite Oats with Almonds cookies Biscuits, 150g",150g,64,65,1.54,No Deal,4K+ bought in past month,4.4,"11,435",https://www.amazon.in/Sunfeast-Farmlite-Oats-Almonds-150g/dp/B00LJVELSQ/ref=sr_1_9_f3_0o_fs?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-9,Not Ad,19-05-2025,right shift,560005,right shift
SunRace MTB Right Friction Shift Lever,No Grammage,2585,5898.20,56.17,No Deal,No data,5.0,1,https://www.amazon.in/SunRace-Right-Friction-Shift-Lever/dp/B001GSSO4E/ref=sr_1_10?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sr=8-10,Not Ad,19-05-2025,right shift,560005,right shift
"ALPINO High Protein Super Oats Chocolate 1kg – Rolled Oats, Natural Peanut Butter, Cocoa Powder, Nuts & Seeds – 22% Protein, Source of Dietary Fibre & Healthy Fats, No Added Sugar & Salt",1kg,511,549,6.92,No Deal,8K+ bought in past month,4.2,"3,029",https://www.amazon.in/ALPINO-Peanut-Chocolate-Protein-Gluten-Free/dp/B0BL3MTSSB/ref=sr_1_11_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.K98ZbEFg8GTc8NAnzgVoPfGK3Xka0vdmqBhuD1iXrrCVhNLdTfqK43PaXuw_62J3lRfgK8MQZXef_Y5EVy7NFdMdzq3ifZ93TGoo5-m1ghy8SnXaeSIGru-XA9vVfMU28mJkC_QztvngGGaIQlPVsH7oOWsPVRpbZgTTUjV-d5_ztp8rzmHgR1JH1kMq-i7xkoFtMGEWo-tLWguAaM3H4V5-M5SOGeBPHO4Uo-LtYdwvOAE2yTQxoEu5QaSuU1SD4G9P-roAU_0E7dLIoZLCSqdALxHlgdYO3KuywtEQunw.SQkRbMBho5nLZVY8Uyu0VYak31fptMBG55EQww13Jgo&dib_tag=se&keywords=right+shift&qid=1747638439&sbo=m6DjfpMzMLDmL8pSMKX8hw%3D%3D&sr=8-11,Not Ad,19-05-2025,right shift,560005,right shift
